country,iso3,year,population,gdp_current_usd,external_debt_pct_gni
Angola,AGO,2023,36749906.0,84875162197.0107,74.300461802381
Benin,BEN,2023,14111034.0,19673290995.8491,64.1058071272236
Botswana,BWA,2023,2480244.0,19411266967.1044,10.6937016235709
Burkina Faso,BFA,2023,23025776.0,20324617844.5265,53.3616492072748
Burundi,BDI,2023,13689450.0,2629391599.50157,39.3820040011509
Cabo Verde,CPV,2023,522331.0,2539203428.73837,97.9020938244442
Cameroon,CMR,2023,28372687.0,49279410982.826,31.7144192261623
Central African Republic,CAF,2023,5152421.0,2555492085.94725,
Chad,TCD,2023,19319064.0,19107685020.89,24.8062079087283
Comoros,COM,2023,850387.0,1430523435.81695,28.1666627938645
"Congo, Republic of",COG,2023,,15321055818.3263,53.477643051879
"Congo, Democratic Republic of",COD,2023,105789731.0,67006756666.3604,17.2144758479657
Côte d’Ivoire,CIV,2023,31165654.0,79618056323.7639,48.2802244332034
Djibouti,DJI,2023,1152944.0,3917150480.80981,85.5768525585338
Equatorial Guinea,GNQ,2023,1847549.0,12337550583.754,
Eritrea,ERI,2023,3470390.0,,
Eswatini,SWZ,2023,1230506.0,4604172127.36299,30.0088655337463
Ethiopia,ETH,2023,128691692.0,,20.3878956964506
Gabon,GAB,2023,,20055720403.471,41.1920406617422
Gambia,GMB,2023,2697845.0,2396111020.8801,56.022426463259
Ghana,GHA,2023,33787914.0,,
Guinea,GIN,2023,14405468.0,22407615556.0571,25.4819426321959
Guinea-Bissau,GNB,2023,2153339.0,2077816134.67419,55.1531949567521
Kenya,KEN,2023,55339003.0,108038588970.595,40.4232521954815
Lesotho,LSO,2023,2311472.0,2117962430.3041,68.921115566306
Liberia,LBR,2023,5493031.0,4390000000.0,52.3835892160323
Madagascar,MDG,2023,31195932.0,15869945477.855,41.7765973334011
Malawi,MWI,2023,21104482.0,12712150082.0792,29.1878159434085
Mali,MLI,2023,23769127.0,24621545564.8753,32.7818369493649
Mauritania,MRT,2023,5022441.0,10651709314.1644,43.1840362295667
Mauritius,MUS,2023,1261041.0,14101195732.6741,128.347860087775
Mozambique,MOZ,2023,33635160.0,20954220983.5473,349.676525389679
Namibia,NAM,2023,2963095.0,12408271447.8691,
Niger,NER,2023,26159867.0,16698786973.0228,34.6858721049593
Nigeria,NGA,2023,227882945.0,363846332834.618,29.0393685709598
Rwanda,RWA,2023,13954471.0,14331722700.3249,82.3875065974947
São Tomé and Príncipe,STP,2023,230871.0,678976264.835436,66.2455753520049
Senegal,SEN,2023,18077573.0,30696331295.7826,133.991931640928
Seychelles,SYC,2023,119773.0,2187379754.66167,
Sierra Leone,SLE,2023,8460512.0,6411787856.06581,37.4639796212849
Somalia,SOM,2023,18358615.0,10968517089.9982,27.6754003697106
South Africa,ZAF,2023,63212384.0,380699271816.395,44.1469911838428
South Sudan,SSD,2023,11483374.0,,
Sudan,SDN,2023,50042791.0,39898289820.7951,20.8506519972074
Tanzania,TZA,2023,66617606.0,,44.6119155480505
Togo,TGO,2023,9304337.0,9171261837.57103,36.6445825137919
Uganda,UGA,2023,48656601.0,48768955859.2834,40.57528255393
Zambia,ZMB,2023,20723965.0,,
Zimbabwe,ZWE,2023,16340822.0,35231369343.4002,40.8476829567855
